date,game,missing_teams
2024-09-11,PSU-Beaver 0 @ Pitt-Bradford 15,away: PSU-Beaver
2024-09-11,Morrisville St 3 @ SUNY-ESF 3,home: SUNY-ESF
2024-09-11,PSU-Brandywine 0 @ PSU-Schuylkill 0,home: PSU-Schuylkill
2024-09-12,Carnegie Mellon 1 @ Point Park 1,home: Point Park
2024-09-12,Bob Jones 2 @ Greensboro 1,away: Bob Jones
2024-09-12,Austin Col 2 @ Wiley 0,home: Wiley
2024-09-12,Illinois Col 2 @ Great Lakes Chr 0,home: Great Lakes Chr
2024-09-13,Spartanburg Meth 1 @ Bob Jones 0,"home: Bob Jones, away: Spartanburg Meth"
2024-09-13,McMurry 2 @ Wayland 0,home: Wayland
2024-09-13,Trinity TX 1 @ UT Dallas 0,home: UT Dallas
2024-09-13,Blackburn 0 @ Stephens 4,home: Stephens
2024-09-13,Houston-Victoria 3 @ Schreiner 1,away: Houston-Victoria
2024-09-13,Five Towns 0 @ SUNY Maritime 1,away: Five Towns
2024-09-13,Pac Lutheran 0 @ Evergreen St 0,home: Evergreen St
2024-09-14,Concordia IL 2 @ Great Lakes Chr 0,home: Great Lakes Chr
2024-09-14,Dordt 5 @ NE Wesleyan 0,away: Dordt
2024-09-14,Lyon 0 @ Central Bap 0,home: Central Bap
2024-09-14,Manchester 1 @ St Francis IN 2,home: St Francis IN
2024-09-14,Vanguard 2 @ Redlands 0,away: Vanguard
2024-09-14,Whitworth 1 @ Corban 2,home: Corban
2024-09-14,Caltech 3 @ Life Pacific 1,home: Life Pacific
2024-09-14,Lewis & Clark 4 @ Bushnell 1,home: Bushnell
2024-09-14,Pac Lutheran 0 @ Multnomah Bib 0,home: Multnomah Bib
2024-09-14,Talladega 3 @ Oglethorpe 0,away: Talladega
2024-09-14,Ohio Chr 3 @ Berea 0,away: Ohio Chr
2024-09-14,S Maine 8 @ ME Ft Kent 0,home: ME Ft Kent
2024-09-14,Toccoa Falls 3 @ Wesleyan GA 0,away: Toccoa Falls
2024-09-15,Millsaps 12 @ Tougaloo 0,home: Tougaloo
2024-09-15,Warner Pacific 1 @ Lewis & Clark 5,away: Warner Pacific
2024-09-15,Old Westbury 1 @ Five Towns 1,home: Five Towns
2024-09-15,UT Dallas 3 @ TX Lutheran 4,away: UT Dallas
2024-09-15,Whitman 5 @ Corban 0,home: Corban
2024-09-16,NE Wesleyan 0 @ Concordia NE 2,home: Concordia NE
2024-09-16,Portland 7 @ George Fox 0,away: Portland
2024-09-17,PSU-Brandywine 2 @ PSU-Hazleton 1,home: PSU-Hazleton
2024-09-17,Adrian 4 @ IN S Bend 1,home: IN S Bend
2024-09-17,Buena Vista 7 @ Spurgeon 0,home: Spurgeon
2024-09-17,NVU-Johnson 6 @ Fisher 2,home: Fisher
2024-09-17,Keystone 0 @ Five Towns 1,home: Five Towns
2024-09-18,Thiel 6 @ PSU-New Kens 2,home: PSU-New Kens
2024-09-18,Carolina Univ 1 @ Brevard 4,away: Carolina Univ
2024-09-18,Oglethorpe 1 @ GA Gwinnett 3,home: GA Gwinnett
2024-09-18,Assumption 3 @ ME Ft Kent 1,"home: ME Ft Kent, away: Assumption"
2024-09-19,Belhaven MS 7 @ Tougaloo 0,home: Tougaloo
2024-09-19,York NY 0 @ Five Towns 2,home: Five Towns
2024-09-20,Bob Jones 7 @ Pfeiffer 0,away: Bob Jones
2024-09-20,Freed-Hardeman 1 @ MS Women 0,away: Freed-Hardeman
2024-09-20,TX Lutheran 2 @ Texas A&M Intl 4,home: Texas A&M Intl
2024-09-20,UT Dallas 1 @ Rogers St 0,"home: Rogers St, away: UT Dallas"
2024-09-20,ME Ft Kent 8 @ C Maine Tech 0,"home: C Maine Tech, away: ME Ft Kent"
2024-09-21,Toccoa Falls 1 @ LaGrange 1,away: Toccoa Falls
2024-09-21,Greenville 4 @ Stephens 0,home: Stephens
2024-09-21,Georgetown KY 0 @ Asbury 0,away: Georgetown KY
2024-09-21,Ohio Chr 0 @ Bluffton 0,away: Ohio Chr
2024-09-21,WI Stout 0 @ Viterbo 4,home: Viterbo
2024-09-21,Univ Ozarks 1 @ W Woods 2,home: W Woods
2024-09-21,Lincoln PA 5 @ PSU-Brandywine 0,away: Lincoln PA
2024-09-21,Faith Bap 1 @ Illinois Col 3,away: Faith Bap
2024-09-21,Mt Vernon Naz 4 @ Alma 0,away: Mt Vernon Naz
2024-09-22,Centenary 1 @ Wiley 0,home: Wiley
2024-09-22,UT Dallas 3 @ Schreiner 1,away: UT Dallas
2024-09-23,Pitt-Bradford 9 @ PSU-New Kens 0,home: PSU-New Kens
2024-09-23,Toccoa Falls 0 @ Brevard 2,away: Toccoa Falls
2024-09-23,UC Santa Cruz 9 @ Cal Maritime 0,home: Cal Maritime
2024-09-23,Trinity DC 0 @ Christendom 13,home: Christendom
2024-09-24,Carlow 6 @ PSU-New Kens 0,home: PSU-New Kens
2024-09-24,Campbellsville 10 @ Berea 0,away: Campbellsville
2024-09-24,Concordia TX 2 @ Nelson TX 0,home: Nelson TX
2024-09-24,Bob Jones 4 @ Averett 1,away: Bob Jones
2024-09-24,PSU-Schuylkill 1 @ Keystone 4,away: PSU-Schuylkill
2024-09-24,DePauw 5 @ St Mary-Woods 2,home: St Mary-Woods
2024-09-24,SUNY-ESF 0 @ Penn Col Tech 3,away: SUNY-ESF
2024-09-24,Suffolk 13 @ Fisher 0,home: Fisher
2024-09-25,Wiley 1 @ Centenary 1,away: Wiley
2024-09-25,Stephens 0 @ Illinois Col 2,away: Stephens
2024-09-25,Manchester 1 @ Great Lakes Chr 3,home: Great Lakes Chr
2024-09-25,Wilson 5 @ PSU-Schuylkill 0,home: PSU-Schuylkill
2024-09-25,Bay Path 0 @ MA Col Lib Arts 10,away: Bay Path
2024-09-27,Soka 3 @ Whittier 0,away: Soka
2024-09-28,Maranatha Bap 1 @ Grace Chr 0,home: Grace Chr
2024-09-28,M Hardin-Baylor 2 @ UT Dallas 1,home: UT Dallas
2024-09-29,Fisher 2 @ Washington Advt 0,"home: Washington Advt, away: Fisher"
2024-09-30,Centenary 15 @ Tougaloo 0,home: Tougaloo
2024-09-30,Wm Jessup 0 @ UC Santa Cruz 0,away: Wm Jessup
2024-10-01,Five Towns 9 @ Medgar Evers 0,away: Five Towns
2024-10-01,Illinois Col 3 @ UHSP 2,home: UHSP
2024-10-02,St Michael's 2 @ ME Ft Kent 0,"home: ME Ft Kent, away: St Michael's"
2024-10-02,Camp U-Harrodsburg 2 @ Berea 2,away: Camp U-Harrodsburg
2024-10-02,MA Maritime 9 @ Bay Path 0,home: Bay Path
2024-10-03,Howard Payne 1 @ UT Dallas 2,home: UT Dallas
2024-10-03,Buena Vista 3 @ Faith Bap 1,home: Faith Bap
2024-10-04,Edward Waters 1 @ Bob Jones 2,"home: Bob Jones, away: Edward Waters"
2024-10-04,Great Lakes Chr 6 @ Maranatha Bap 0,away: Great Lakes Chr
2024-10-05,Grace Chr 1 @ Maranatha Bap 3,away: Grace Chr
2024-10-05,Trinity Bap 0 @ Bob Jones 2,"home: Bob Jones, away: Trinity Bap"
2024-10-05,Greensboro 1 @ Carolina Univ 1,home: Carolina Univ
2024-10-05,Hardin-Simmons 2 @ UT Dallas 0,home: UT Dallas
2024-10-05,UHSP 4 @ Lyon 1,away: UHSP
2024-10-06,Bry & Strat-Syracuse 2 @ ME Ft Kent 3,"home: ME Ft Kent, away: Bry & Strat-Syracuse"
2024-10-06,Tougaloo 0 @ LaGrange 12,away: Tougaloo
2024-10-06,Berea 1 @ Columbia SC 5,home: Columbia SC
2024-10-06,Fisher 1 @ ME Presque Isle 1,away: Fisher
2024-10-07,Bob Jones 8 @ Camp U-Harrodsburg 0,"home: Camp U-Harrodsburg, away: Bob Jones"
2024-10-07,Carlow 1 @ Bry & Strat-Syracuse 3,home: Bry & Strat-Syracuse
2024-10-07,Gwynedd-Mercy 6 @ PSU-Schuylkill 0,home: PSU-Schuylkill
2024-10-08,ME Farmington 6 @ Fisher 0,home: Fisher
2024-10-08,Thomas Aquinas 2 @ ME Ft Kent 1,"home: ME Ft Kent, away: Thomas Aquinas"
2024-10-08,SUNY Poly 3 @ SUNY-ESF 1,home: SUNY-ESF
2024-10-09,Washington Advt 16 @ Trinity DC 0,away: Washington Advt
2024-10-10,UT Dallas 2 @ E Texas Bap 0,away: UT Dallas
2024-10-10,ME Presque Isle 0 @ ME Augusta 1,home: ME Augusta
2024-10-11,Great Lakes Chr 7 @ Mt Mary 0,away: Great Lakes Chr
2024-10-12,J&W NC 0 @ Christendom 0,home: Christendom
2024-10-12,UT Dallas 5 @ Le Tourneau 0,away: UT Dallas
2024-10-12,Bob Jones 4 @ Emmanuel GA 3,"home: Emmanuel GA, away: Bob Jones"
2024-10-12,Faith Bap 3 @ Maranatha Bap 1,away: Faith Bap
2024-10-12,UC Santa Cruz 6 @ Simpson CA 1,home: Simpson CA
2024-10-12,SUNY-ESF 2 @ SUNY Cobleskill 0,away: SUNY-ESF
2024-10-14,Toccoa Falls 0 @ Bob Jones 2,"home: Bob Jones, away: Toccoa Falls"
2024-10-15,Centre 0 @ Campbellsville 1,home: Campbellsville
2024-10-15,MA Maritime 1 @ Fisher 1,home: Fisher
2024-10-17,ME Maritime 5 @ Fisher 1,home: Fisher
2024-10-18,Andrews 2 @ Mt Mary 1,away: Andrews
2024-10-19,UT Dallas 0 @ M Hardin-Baylor 0,away: UT Dallas
2024-10-19,Maranatha Bap 1 @ Faith Bap 4,home: Faith Bap
2024-10-19,Trinity Bap 2 @ Agnes Scott 1,away: Trinity Bap
2024-10-19,PSU-Schuylkill 19 @ Trinity DC 0,away: PSU-Schuylkill
2024-10-20,Fisher 0 @ Spartanburg Meth 2,"home: Spartanburg Meth, away: Fisher"
2024-10-20,ME Ft Kent 2 @ ME Presque Isle 0,away: ME Ft Kent
2024-10-21,Washington Advt 1 @ Fisher 3,"home: Fisher, away: Washington Advt"
2024-10-22,Andrews 1 @ Maranatha Bap 4,away: Andrews
2024-10-22,St Michael's 5 @ NVU-Johnson 0,away: St Michael's
2024-10-23,Carolina Univ 2 @ Bob Jones 2,"home: Bob Jones, away: Carolina Univ"
2024-10-23,Dominican CA 0 @ UC Santa Cruz 2,away: Dominican CA
2024-10-24,Trinity DC 0 @ Washington Advt 7,home: Washington Advt
2024-10-24,UT Dallas 2 @ Hardin-Simmons 3,away: UT Dallas
2024-10-25,SUNY Delhi 3 @ SUNY-ESF 0,home: SUNY-ESF
2024-10-26,UT Dallas 0 @ Howard Payne 2,away: UT Dallas
2024-10-26,Columbia Intl 3 @ Bob Jones 0,"home: Bob Jones, away: Columbia Intl"
2024-10-26,Trinity DC 0 @ Central Penn 3,home: Central Penn
2024-10-26,ME Ft Kent 0 @ Fisher 0,"home: Fisher, away: ME Ft Kent"
2024-10-28,Maranatha Bap 7 @ Andrews 0,home: Andrews
2024-10-28,Bob Jones 6 @ Trinity Bap 0,"home: Trinity Bap, away: Bob Jones"
2024-10-28,Spalding 1 @ Brescia 0,home: Brescia
2024-10-29,MA Col Lib Arts 5 @ Fisher 1,home: Fisher
2024-10-29,Berry 6 @ Shorter 0,home: Shorter
2024-10-29,Virginia St 4 @ S Virginia 4,away: Virginia St
2024-10-30,Framingham St 2 @ Fisher 0,home: Fisher
2024-10-31,Le Tourneau 1 @ UT Dallas 6,home: UT Dallas
2024-11-02,Spartanburg Meth 0 @ Bob Jones 4,"home: Bob Jones, away: Spartanburg Meth"
2024-11-02,E Texas Bap 0 @ UT Dallas 3,home: UT Dallas
2024-11-06,J&W NC 1 @ Carolina Univ 2,home: Carolina Univ
2024-11-08,Five Towns 13 @ Medgar Evers 0,away: Five Towns
2024-11-08,Grace Chr 0 @ Maranatha Bap 2,away: Grace Chr
2024-11-09,Great Lakes Chr 3 @ Maranatha Bap 0,away: Great Lakes Chr
2024-11-09,Bob Jones 3 @ Toccoa Falls 0,"home: Toccoa Falls, away: Bob Jones"
2024-11-12,N Central MN 1 @ Providence MB 3,home: Providence MB
2024-11-12,Crown MN 4 @ Faith Bap 1,home: Faith Bap
2024-11-13,Crown MN 1 @ Providence MB 2,home: Providence MB
2024-11-15,Carlow 0 @ Shaw NC 7,home: Shaw NC
2024-11-15,J&W NC 0 @ NH Tech 1,home: NH Tech
2024-11-16,Carlow 0 @ Florida National 9,home: Florida National
2024-11-16,ME Ft Kent 3 @ North American 0,"home: North American, away: ME Ft Kent"
2024-11-16,Cin Clermont 1 @ J&W NC 0,away: Cin Clermont
2024-11-17,Bry & Strat-Syracuse 1 @ ME Ft Kent 1,"home: ME Ft Kent, away: Bry & Strat-Syracuse"
2024-11-19,Camp U-Harrodsburg 0 @ Bob Jones 11,"home: Bob Jones, away: Camp U-Harrodsburg"
2024-11-21,Asbury 1 @ Ohio Chr 0,home: Ohio Chr
2024-12-02,Asbury 0 @ Judson IL 2,home: Judson IL
2024-12-03,Asbury 0 @ Bethel IN 1,home: Bethel IN
